date,country,value
2011-05-01,Thailand,18520.1261771065
2011-06-01,Thailand,19646.026553795702
2011-07-01,Thailand,20217.101375318998
2011-08-01,Thailand,20619.708109103798
2011-09-01,Thailand,19658.147966113
2011-10-01,Thailand,16303.592779203
2011-11-01,Thailand,15651.3613448869
2011-12-01,Thailand,16645.4499340869
2012-01-01,Thailand,17149.2114088871
2012-02-01,Thailand,19658.230372057802
2012-03-01,Thailand,18803.6415125253
2012-04-01,Thailand,18499.0684343382
2012-05-01,Thailand,20404.2526621736
2012-06-01,Thailand,19220.553309311297
2012-07-01,Thailand,19153.4057653354
2012-08-01,Thailand,19136.4419506731
2012-09-01,Thailand,19699.4676915421
2012-10-01,Thailand,18893.1428656318
2012-11-01,Thailand,19793.45449761
2012-12-01,Thailand,18700.2382753396
2013-01-01,Thailand,19601.8375285722
2013-02-01,Thailand,18602.5444924258
2013-03-01,Thailand,19403.645447212
2013-04-01,Thailand,19050.4362730139
2013-05-01,Thailand,19293.6103075367
2013-06-01,Thailand,18587.745341019097
2013-07-01,Thailand,18964.1528219638
2013-08-01,Thailand,19965.069988099
2013-09-01,Thailand,18359.7817187179
2013-10-01,Thailand,18688.067805746898
2013-11-01,Thailand,18916.46083212
2013-12-01,Thailand,18988.1544293428
2014-01-01,Thailand,19178.0247836913
2014-02-01,Thailand,19067.8643222268
2014-03-01,Thailand,18516.6012770671
2014-04-01,Thailand,18904.6283011861
2014-05-01,Thailand,18886.7373602419
2014-06-01,Thailand,19254.2944630739
2014-07-01,Thailand,18926.6126112294
2014-08-01,Thailand,18414.5452695413
2014-09-01,Thailand,18926.8206027485
2014-10-01,Thailand,19404.3625037542
2014-11-01,Thailand,18626.5648253204
